rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,id
1,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (with Playboi Carti),XO / Republic Records,1,-1,1,16201681,1Es7AUAhQvapIcoh3qMKDL
2,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,1,1,7,13576298,2plbrEY59IikOBgBGLjaoe
3,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,Island Records,1,2,6,13477586,5G2f63n7IPVPPjfNIGih7Q
4,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,1,3,26,12047867,0WbMK4wrZ1wFSty9F7FCgu
5,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,2,4,20,11407538,6dOtVTDdiauQNBQEDOtlAB
6,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Jimin,Who,BIGHIT MUSIC,2,5,11,10563283,7tI8dRuH2Yc6RuoTjxo4dU
7,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,1,6,25,9713707,2HRqTpkrJO5ggZyyK6NPWz
8,spotify:track:1UHS8Rf6h5Ar3CDWRd3wjF,Sabrina Carpenter,Bed Chem,Island Records,7,8,6,8911295,1UHS8Rf6h5Ar3CDWRd3wjF
9,spotify:track:2tHwzyyOLoWSFqYNjeVMzj,Sabrina Carpenter,Please Please Please,Island Records,1,7,17,8736065,2tHwzyyOLoWSFqYNjeVMzj
10,spotify:track:5IZXB5IKAD2qlvTPJYDCFB,"Post Malone, Morgan Wallen",I Had Some Help (Feat. Morgan Wallen),Mercury Records / Republic Records,1,10,21,8574690,5IZXB5IKAD2qlvTPJYDCFB
11,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,3,11,25,8551728,5fZJQrFKWQLb7FpJXZ1g7K
12,spotify:track:4xdBrk0nFZaP54vvZj0yx7,Chappell Roan,HOT TO GO!,Chappell Roan PS/ Island,9,9,25,8000192,4xdBrk0nFZaP54vvZj0yx7
13,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,Not Like Us,"Kendrick Lamar, under exclusive license to Interscope Records",1,12,22,6849595,6AI3ezQ4o3HUoP6Dhudph3
14,spotify:track:2262bWmqomIaJXwCRHr13j,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,14,14,10,6641201,2262bWmqomIaJXwCRHr13j
15,spotify:track:1k2pQc5i348DCHwbn5KTdc,Chappell Roan,Pink Pony Club,Chappell Roan PS/ Island,12,13,17,6616980,1k2pQc5i348DCHwbn5KTdc
16,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",1,15,37,6417011,3xkHsmpQCBMytMJNiDf3Ii
17,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,Tommy Richman,MILLION DOLLAR BABY,PULSE Records,2,16,23,6075987,5AJ9hqTS2wcFQCELCFRO7A
18,spotify:track:4KULAymBBJcPRpk1yO4dOG,"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),Warner Records,1,17,58,5965873,4KULAymBBJcPRpk1yO4dOG
19,spotify:track:0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,Mercury Records/Republic Records,2,21,101,5910429,0mflMxspEfB0VbI1kyLiAv
20,spotify:track:102YUQbYmwdBXS7jwamI90,Sabrina Carpenter,Good Graces,Island Records,7,28,6,5732181,102YUQbYmwdBXS7jwamI90
21,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,10,19,47,5619029,17phhZDn6oGtzMe56NuWvj
22,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,11,29,20,5585577,3QaPy1KgI7nu9FJEQUgn6h
23,spotify:track:4ZJ4vzLQekI0WntDbanNC7,Zach Bryan,Pink Skies,Warner Records,8,23,19,5581618,4ZJ4vzLQekI0WntDbanNC7
24,spotify:track:51rfRCiUSvxXlCSCfIztBy,Gracie Abrams,"I Love You, I'm Sorry","Gracie Abrams, under exclusive license to Interscope Records",22,22,12,5464450,51rfRCiUSvxXlCSCfIztBy
25,spotify:track:19XpFsce28aByvCC4g89tJ,Hozier,Too Sweet,Rubyworks / Universal-Island Records Ltd,1,20,28,5433056,19XpFsce28aByvCC4g89tJ
26,spotify:track:1XBYiRV30ykHw5f4wm6qEn,The Kid LAROI,NIGHTS LIKE THIS,Columbia,24,30,15,5392078,1XBYiRV30ykHw5f4wm6qEn
27,spotify:track:7KA4W4McWYRpgf0fWsJZWB,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),Columbia,5,35,170,5330297,7KA4W4McWYRpgf0fWsJZWB
28,spotify:track:21B4gaTWnTkuSh77iWEXdS,Sabrina Carpenter,Juno,Island Records,13,45,6,5267926,21B4gaTWnTkuSh77iWEXdS
29,spotify:track:0cQVqPuHQP4KEwc7ZUQmj6,The Neighbourhood,Sweater Weather,Columbia,13,32,215,5256559,0cQVqPuHQP4KEwc7ZUQmj6
30,spotify:track:3WMj8moIAXJhHsyLaqIIHI,Zach Bryan,Something in the Orange,Warner Records,4,25,128,5185283,3WMj8moIAXJhHsyLaqIIHI
31,spotify:track:6GG4yyk3UATdBfTHVgI8PB,Luke Combs,Ain't No Love In Oklahoma (From Twisters: The Album),Atlantic Records,17,24,20,5019713,6GG4yyk3UATdBfTHVgI8PB
32,spotify:track:5iJKGpnFfvbjZJeAtwXfCj,Zach Bryan,28,Warner Records,10,31,13,4968096,5iJKGpnFfvbjZJeAtwXfCj
33,spotify:track:7FOgcfdz9Nx5V9lCNXdBYv,Chappell Roan,Red Wine Supernova,Chappell Roan PS/ Island,15,26,26,4956712,7FOgcfdz9Nx5V9lCNXdBYv
34,spotify:track:2cZOYofOX4d6g0OXxkaIjA,Playboi Carti,ALL RED,AWGE/Interscope Records,4,18,3,4818187,2cZOYofOX4d6g0OXxkaIjA
35,spotify:track:7Fzl7QaTu47WyP9R5S5mh5,Morgan Wallen,Lies Lies Lies,Big Loud Records / Mercury Records / Republic Records,9,40,13,4798335,7Fzl7QaTu47WyP9R5S5mh5
36,spotify:track:3WOhcATHxK2SLNeP5W3v1v,"Charli xcx, Billie Eilish",Guess featuring Billie Eilish,Atlantic Records,7,33,9,4735121,3WOhcATHxK2SLNeP5W3v1v
37,spotify:track:51eSHglvG1RJXtL3qI5trr,Benson Boone,Slow It Down,"Night Street Records, Inc./Warner Records Inc.",22,37,28,4638762,51eSHglvG1RJXtL3qI5trr
38,spotify:track:7fveJ3pk1eSfxBdVkzdXZ0,"Morgan Wallen, ERNEST",Cowgirls (feat. ERNEST),Big Loud Records / Mercury Records / Republic Records,19,36,76,4481677,7fveJ3pk1eSfxBdVkzdXZ0
39,spotify:track:2uqYupMHANxnwgeiXTZXzd,Dasha,Austin (Boots Stop Workin'),Warner Records,20,39,30,4478870,2uqYupMHANxnwgeiXTZXzd
40,spotify:track:2Dct3GykKZ58hpWRFfe2Qd,Zach Bryan,Heading South,Warner Records,30,41,99,4449761,2Dct3GykKZ58hpWRFfe2Qd
41,spotify:track:2aYZaN5SmkRDLsrrV8GkBQ,"Peso Pluma, Neton Vega",LA PATRULLA,2024 Double P Records,41,43,14,4400421,2aYZaN5SmkRDLsrrV8GkBQ
42,spotify:track:3WSOUb3U7tqURbBSgZTrZX,Chappell Roan,Casual,Chappell Roan PS/ Island,32,38,18,4368365,3WSOUb3U7tqURbBSgZTrZX
43,spotify:track:24XihnoVPWXlKJ4BgXqjVM,Tate McRae,It's ok I'm ok,RCA Records Label,15,27,3,4356244,24XihnoVPWXlKJ4BgXqjVM
44,spotify:track:42VsgItocQwOQC3XWZ8JNA,"Travis Scott, Playboi Carti",FE!N (feat. Playboi Carti),Cactus Jack/Epic,2,50,62,4350127,42VsgItocQwOQC3XWZ8JNA
45,spotify:track:4Na2HfNSr58chvfX69fy36,Gunna,one of wun,300 Entertainment,23,52,21,4217544,4Na2HfNSr58chvfX69fy36
46,spotify:track:3xKsf9qdS1CyvXSMEid6g8,Frank Ocean,Pink + White,Boys Don't Cry,30,51,112,4187501,3xKsf9qdS1CyvXSMEid6g8
47,spotify:track:1SjsVdSXpwm1kTdYEHoPIT,Zach Bryan,Sun to Me,Warner Records,35,46,73,4180822,1SjsVdSXpwm1kTdYEHoPIT
48,spotify:track:6MzofobZt2dm0Kf1hTThFz,Addison Rae,Diet Pepsi,Columbia,48,66,6,4120712,6MzofobZt2dm0Kf1hTThFz
49,spotify:track:58ge6dfP91o9oXMzq3XkIS,Arctic Monkeys,505,Domino Recording Co,18,44,193,4024088,58ge6dfP91o9oXMzq3XkIS
50,spotify:track:7K3BhSpAxZBznislvUMVtn,Morgan Wallen,Last Night,Big Loud Records / Mercury Records / Republic Records,1,48,88,4003536,7K3BhSpAxZBznislvUMVtn
51,spotify:track:0OA00aPt3BV10qeMIs3meW,"Hanumankind, Kalmi",Big Dawgs,Universal Music India Pvt Ltd.,13,47,10,3847844,0OA00aPt3BV10qeMIs3meW
52,spotify:track:4QTlxavdQGUVitxAvQqqkU,BigXthaPlug,Mmhmm,BigXthaPlug under exclusive license to UnitedMasters LLC,38,55,42,3744585,4QTlxavdQGUVitxAvQqqkU
53,spotify:track:3siwsiaEoU4Kuuc9WKMUy5,The Marías,No One Noticed,Nice Life/Atlantic,53,74,7,3727691,3siwsiaEoU4Kuuc9WKMUy5
54,spotify:track:0PAcdVzhPO4gq1Iym9ESnK,Morgan Wallen,Thinkin’ Bout Me,Big Loud Records / Mercury Records / Republic Records,9,57,83,3689633,0PAcdVzhPO4gq1Iym9ESnK
55,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,Mitski,My Love Mine All Mine,Dead Oceans,3,54,55,3663812,3vkCueOmm7xQDoJ17W1Pm3
56,spotify:track:5oIVNm56t6OIf9ZjdEG3ud,Sabrina Carpenter,Coincidence,Island Records,15,70,6,3587776,5oIVNm56t6OIf9ZjdEG3ud
57,spotify:track:6WatFBLVB0x077xWeoVc2k,KAROL G,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,44,58,15,3576379,6WatFBLVB0x077xWeoVc2k
58,spotify:track:6dBUzqjtbnIa1TwYbyw5CM,TV Girl,Lovers Rock,TV Girl,38,61,98,3500338,6dBUzqjtbnIa1TwYbyw5CM
59,spotify:track:2Lumsra3kuU61wXkEKzKaK,Surf Curse,Disco,Surf Curse,46,63,5,3477965,2Lumsra3kuU61wXkEKzKaK
60,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,1,77,95,3472268,1Qrg8KqiBpW07V7PNxwwwL
61,spotify:track:629DixmZGHc7ILtEntuiWE,Billie Eilish,LUNCH,Darkroom/Interscope Records,4,81,20,3457996,629DixmZGHc7ILtEntuiWE
62,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,Ariana Grande,we can't be friends (wait for your love),Republic Records,2,67,30,3457008,51ZQ1vr10ffzbwIjDCwqm4
63,spotify:track:3dYD57lRAUcMHufyqn9GcI,Hozier,Take Me To Church,Universal-Island Records Ltd.,63,78,45,3438089,3dYD57lRAUcMHufyqn9GcI
64,spotify:track:2tudvzsrR56uom6smgOcSf,"Future, Metro Boomin, Kendrick Lamar",Like That,Wilburn Holding Co./Boominati/Epic/Republic,1,60,28,3432997,2tudvzsrR56uom6smgOcSf
65,spotify:track:3pXF1nA74528Edde4of9CC,Bryson Tiller,Don't,TrapSoul/RCA Records,65,69,145,3425972,3pXF1nA74528Edde4of9CC
66,spotify:track:7iQMm50NNwlUIRWhONZR2k,Tucker Wetmore,Wind Up Missin’ You,Tucker Wetmore,48,80,27,3419830,7iQMm50NNwlUIRWhONZR2k
67,spotify:track:3hxIUxnT27p5WcmjGUXNwx,Hotel Ugly,Shut up My Moms Calling,"Hotel Ugly, under exclusive license to Amuseio AB",29,68,109,3390616,3hxIUxnT27p5WcmjGUXNwx
68,spotify:track:6dgUya35uo964z7GZXM07g,Sabrina Carpenter,Nonsense,Island Records,15,93,90,3389958,6dgUya35uo964z7GZXM07g
69,spotify:track:5AH31dDNgxCMGDdxubNNn4,Fuerza Regida,NEL,Rancho Humilde/Street Mob Records,69,105,8,3381365,5AH31dDNgxCMGDdxubNNn4
70,spotify:track:3iPIDAFybaoyqX7hvAfWkl,Sabrina Carpenter,Sharpest Tool,Island Records,12,91,6,3369547,3iPIDAFybaoyqX7hvAfWkl
71,spotify:track:5W4kiM2cUYBJXKRudNyxjW,Morgan Wallen,You Proof,Big Loud Records / Mercury Records / Republic Records,8,82,125,3359385,5W4kiM2cUYBJXKRudNyxjW
72,spotify:track:3Pbp7cUCx4d3OAkZSCoNvn,Michael Marcagi,Scared To Start,Warner Records,16,59,37,3350740,3Pbp7cUCx4d3OAkZSCoNvn
73,spotify:track:7BRD7x5pt8Lqa1eGYC4dzj,Billie Eilish,CHIHIRO,Darkroom/Interscope Records,7,110,20,3348828,7BRD7x5pt8Lqa1eGYC4dzj
74,spotify:track:5lKFO0PrOC9jmOlPEdjHsL,"Tito Double P, Peso Pluma",DOS DÍAS,2024 Double P Records,74,135,4,3328823,5lKFO0PrOC9jmOlPEdjHsL
75,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,79,99,3311203,1BxfuPKGuaTgP7aM0Bbdwr
76,spotify:track:0JXXNGljqupsJaZsgSbMZV,Miguel,Sure Thing,Jive,10,72,98,3304984,0JXXNGljqupsJaZsgSbMZV
77,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,Myles Smith,Stargazing,RCA Records Label,24,71,21,3292084,3Vr3zh0r7ALn8VLqCiRR10
78,spotify:track:003vvx7Niy0yvhvHt4a68B,The Killers,Mr. Brightside,Island Records,50,89,214,3286275,003vvx7Niy0yvhvHt4a68B
79,spotify:track:0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,Dreams - 2004 Remaster,Rhino/Warner Records,6,100,194,3269002,0ofHAoxe9vBkTCp2UQIavz
80,spotify:track:19RybK6XDbAVpcdxSbZL1o,Charli xcx,Apple,Atlantic Records,16,64,12,3266542,19RybK6XDbAVpcdxSbZL1o
81,spotify:track:7DfFc7a6Rwfi3YQMRbDMau,Frank Ocean,Thinkin Bout You,Red Zone Entertainment / IDJ,42,84,40,3252161,7DfFc7a6Rwfi3YQMRbDMau
82,spotify:track:4q5YezDOIPcoLr8R81x9qy,Taylor Swift,I Can Do It With a Broken Heart,Taylor Swift,3,90,24,3250171,4q5YezDOIPcoLr8R81x9qy
83,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,End of Beginning,Djo,3,75,33,3241924,3qhlB30KknSejmIvZZLjOD
84,spotify:track:2Zo1PcszsT9WQ0ANntJbID,Sabrina Carpenter,Feather,Island Records,20,116,45,3229365,2Zo1PcszsT9WQ0ANntJbID
85,spotify:track:2c7z5oRcPBbqRaBY2mLWcf,Don Toliver,NEW DROP,Cactus Jack / Atlantic,85,130,3,3212099,2c7z5oRcPBbqRaBY2mLWcf
86,spotify:track:1C84d9abZVKWHT2YYpoean,"Luis R Conriquez, Neton Vega",Si No Quieres No,Kartel Music,62,86,22,3208205,1C84d9abZVKWHT2YYpoean
87,spotify:track:0gEyKnHvgkrkBM6fbeHdwK,The Cranberries,Linger,Island Records,86,87,20,3190907,0gEyKnHvgkrkBM6fbeHdwK
88,spotify:track:6IPwKM3fUUzlElbvKw2sKl,girl in red,we fell in love in october,world in red,60,185,36,3178662,6IPwKM3fUUzlElbvKw2sKl
89,spotify:track:2PnlsTsOTLE5jnBnNe2K0A,Linkin Park,The Emptiness Machine,Warner Records,18,56,4,3147400,2PnlsTsOTLE5jnBnNe2K0A
90,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,"Taylor Swift, Post Malone",Fortnight (feat. Post Malone),Taylor Swift,1,95,24,3129371,2OzhQlSqBEmt7hmkYxfT6m
91,spotify:track:0qRR9d89hIS0MHRkQ0ejxX,Daryl Hall & John Oates,Rich Girl,RCA Records Label,57,73,32,3127853,0qRR9d89hIS0MHRkQ0ejxX
92,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,"Kendrick Lamar, SZA",All The Stars (with SZA),Black Panther (TDE/DMG) PS,2,123,108,3126574,3GCdLUSnKSMJhs4Tj6CV3s
93,spotify:track:1mMLMZYXkMueg65jRRWG1l,Luke Combs,When It Rains It Pours,River House Artists/Columbia Nashville,60,96,127,3121055,1mMLMZYXkMueg65jRRWG1l
94,spotify:track:1bjeWoagtHmUKputLVyDxQ,SZA,Saturn,Top Dawg Entertainment/RCA Records,5,88,32,3107877,1bjeWoagtHmUKputLVyDxQ
95,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,The Goo Goo Dolls,Iris,Warner Records,86,98,33,3107836,6Qyc6fS4DsZjB2mRW9DsQs
96,spotify:track:68Dni7IE4VyPkTOH9mRWHr,J. Cole,No Role Modelz,Roc Nation Records LLC,10,120,347,3080381,68Dni7IE4VyPkTOH9mRWHr
97,spotify:track:6me7F0aaZjwDo6RJ5MrfBD,Richy Mitch & The Coal Miners,Evergreen,Richy Mitch & The Coal Miners,40,94,54,3077328,6me7F0aaZjwDo6RJ5MrfBD
98,spotify:track:0yc6Gst2xkRu0eMLeRMGCX,Cigarettes After Sex,Apocalypse,Partisan Records,49,115,95,3069343,0yc6Gst2xkRu0eMLeRMGCX
99,spotify:track:3fgehc497TFqKH1zBL2YNK,Linkin Park,Heavy Is the Crown,Warner Records,99,-1,1,3065050,3fgehc497TFqKH1zBL2YNK
100,spotify:track:2mWfVxEo4xZYDaz0v7hYrN,Clairo,Juna,Clairo,71,102,10,3060883,2mWfVxEo4xZYDaz0v7hYrN
101,spotify:track:3EaJDYHA0KnX88JvDhL9oa,Steve Lacy,Dark Red,Three Quarter,16,122,162,3026071,3EaJDYHA0KnX88JvDhL9oa
102,spotify:track:0OWhKvvsHptt6vnnNUSM9a,Zach Bryan,Oklahoma Smokeshow,Warner Records,64,107,64,3025451,0OWhKvvsHptt6vnnNUSM9a
103,spotify:track:53IRnAWx13PYmoVYtemUBS,Chappell Roan,Femininomenon,Chappell Roan PS/ Island,41,76,17,2997102,53IRnAWx13PYmoVYtemUBS
104,spotify:track:5RKQ5NdjSh2QzD4MaunT91,Journey,Don't Stop Believin' (2022 Remaster),Columbia/Legacy,92,118,80,2989476,5RKQ5NdjSh2QzD4MaunT91
105,spotify:track:698eQRku24PIYPQPHItKlA,Luke Combs,She Got the Best of Me,River House Artists/Columbia Nashville,58,108,44,2973762,698eQRku24PIYPQPHItKlA
106,spotify:track:3JG1uFc40wfyrqaWC7iv0e,Artemas,i like the way you kiss me,Artemas,3,125,28,2973149,3JG1uFc40wfyrqaWC7iv0e
107,spotify:track:2rxQMGVafnNaRaXlRMWPde,Luke Combs,Beautiful Crazy,River House Artists/Columbia Nashville,61,103,205,2972157,2rxQMGVafnNaRaXlRMWPde
108,spotify:track:3IznIgmXtrUaoPWpQTy5jB,TV Girl,Not Allowed,TV Girl,39,109,73,2967812,3IznIgmXtrUaoPWpQTy5jB
109,spotify:track:4EWCNWgDS8707fNSZ1oaA5,Kanye West,Heartless,Roc-A-Fella,37,144,151,2959280,4EWCNWgDS8707fNSZ1oaA5
110,spotify:track:6StwwqB84sJeLr7tZDTxEX,"Post Malone, Luke Combs",Guy For That (Feat. Luke Combs),Mercury Records / Republic Records,12,97,10,2955143,6StwwqB84sJeLr7tZDTxEX
111,spotify:track:2nLtzopw4rPReszdYBJU6h,Linkin Park,Numb,Warner Records,53,101,6,2920344,2nLtzopw4rPReszdYBJU6h
112,spotify:track:32fSZSbxeVoiZShMQKLc6Z,Chappell Roan,My Kink Is Karma,Chappell Roan PS/ Island,59,99,17,2920059,32fSZSbxeVoiZShMQKLc6Z
113,spotify:track:2UikqkwBv7aIvlixeVXHWt,Chris Stapleton,You Should Probably Leave,Mercury Nashville,56,124,67,2908647,2UikqkwBv7aIvlixeVXHWt
114,spotify:track:2tznHmp70DxMyr2XhWLOW0,Cage The Elephant,Cigarette Daydreams,RCA Records Label,104,114,93,2904767,2tznHmp70DxMyr2XhWLOW0
