rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,id
72,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,69,69,18,57201,0WbMK4wrZ1wFSty9F7FCgu
73,spotify:track:0UvCh63URrLFcPkKt99hHd,Oasis,Don't Look Back in Anger - Remastered,Big Brother,49,84,33,56891,0UvCh63URrLFcPkKt99hHd
74,spotify:track:56v8WEnGzLByGsDAXDiv4d,NewJeans,ETA,ADOR,3,81,63,55598,56v8WEnGzLByGsDAXDiv4d
75,spotify:track:2nRMW95dnOILirpjbksLTs,Jung Kook,Never Let Go,BIGHIT MUSIC,9,66,17,55189,2nRMW95dnOILirpjbksLTs
76,spotify:track:3Zice5cXhiPVLwrdBJlyHc,NMIXX,별별별 (See that?),JYP Entertainment,25,80,7,54949,3Zice5cXhiPVLwrdBJlyHc
77,spotify:track:4Cr43xPo7bwyCcL1g3yVCu,Lim Young Woong,A bientot,물고기뮤직,21,75,124,54733,4Cr43xPo7bwyCcL1g3yVCu
78,spotify:track:3fgehc497TFqKH1zBL2YNK,Linkin Park,Heavy Is the Crown,Warner Records,78,-1,1,54592,3fgehc497TFqKH1zBL2YNK
79,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,7,86,95,54537,1Qrg8KqiBpW07V7PNxwwwL
80,spotify:track:3Dah48XTdzVtbIl4dUn6l4,RIIZE,Get A Guitar,SM Entertainment,17,71,57,54301,3Dah48XTdzVtbIl4dUn6l4
81,spotify:track:4rMEoXVYww6Xy7q9wSj4gy,Lim Young Woong,Love Always Run Away,MOST CONTENTS,24,83,151,53970,4rMEoXVYww6Xy7q9wSj4gy
82,spotify:track:34DtDWmIUacoop6Md298vE,PLAVE,Pump Up The Volume!,VLAST,26,59,7,53793,34DtDWmIUacoop6Md298vE
83,spotify:track:2tHwzyyOLoWSFqYNjeVMzj,Sabrina Carpenter,Please Please Please,Island Records,18,77,17,53201,2tHwzyyOLoWSFqYNjeVMzj
84,spotify:track:2pIUpMhHL6L9Z5lnKxJJr9,NewJeans,Attention,ADOR,1,82,114,51935,2pIUpMhHL6L9Z5lnKxJJr9
85,spotify:track:7ov3TDp5D00Rnu5R1viX4w,"LISA, ROSALÍA",New Woman (feat. ROSALÍA),Lloud Co./RCA Records,16,73,7,51818,7ov3TDp5D00Rnu5R1viX4w
86,spotify:track:4JK1kDUdH9RTBQrrSO1QfR,Yuuri,ベテルギウス,Sony Music Labels Inc.,21,85,77,51469,4JK1kDUdH9RTBQrrSO1QfR
87,spotify:track:1T6xi2QrnmwaebXGvWAjLg,PLAVE,WAY 4 LUV,VLAST,44,76,7,51233,1T6xi2QrnmwaebXGvWAjLg
88,spotify:track:5h1BN75CEh8wdSwE1xrbSe,V,Slow Dancing,BIGHIT MUSIC,4,88,55,50947,5h1BN75CEh8wdSwE1xrbSe
89,spotify:track:3lwK3WyKAI5bUuGY1OgGbZ,LE SSERAFIM,Smart,SOURCE MUSIC,10,103,33,50938,3lwK3WyKAI5bUuGY1OgGbZ
90,spotify:track:1QPV3QoWw3rRKPeYoX8kO8,YEONJUN,GGUM,Republic Records - TXT,74,74,2,50853,1QPV3QoWw3rRKPeYoX8kO8
91,spotify:track:567e29TDzLwZwfDuEpGTwo,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,1,94,169,49840,567e29TDzLwZwfDuEpGTwo
92,spotify:track:3xKsf9qdS1CyvXSMEid6g8,Frank Ocean,Pink + White,Boys Don't Cry,92,142,40,49637,3xKsf9qdS1CyvXSMEid6g8
93,spotify:track:1OhIn0L6iofnk5bjalWfHq,ECLIPSE,Sudden Shower,"Genie Music Corporation, Stone Music Entertainment",26,90,22,49593,1OhIn0L6iofnk5bjalWfHq
94,spotify:track:5BqwC9kOBbqYkzdOKeXFFk,JANNABI,for lovers who hesitate,PEPONI MUSIC,55,99,186,49479,5BqwC9kOBbqYkzdOKeXFFk
95,spotify:track:4p4yxplNCSmt9xfaAMpcd5,BIG Naughty,Vancouver,H1GHR MUSIC RECORDS,40,110,125,49119,4p4yxplNCSmt9xfaAMpcd5
96,spotify:track:2gkVEnpahpE3bQuvGuCpAV,Jung Kook,Yes or No,BIGHIT MUSIC,7,92,48,49018,2gkVEnpahpE3bQuvGuCpAV
97,spotify:track:04TshWXkhV1qkqHzf31Hn6,Kenshi Yonezu,Lemon,Sony Music Labels Inc.,25,98,99,48642,04TshWXkhV1qkqHzf31Hn6
98,spotify:track:2O4Bb2WCkjlTPO827OnBMI,LE SSERAFIM,EASY,SOURCE MUSIC,3,100,33,48565,2O4Bb2WCkjlTPO827OnBMI
99,spotify:track:1E14FuM0BRaHAJSJ9YxMVu,Lim Young Woong,A Psalm of Life,물고기뮤직,26,93,121,48173,1E14FuM0BRaHAJSJ9YxMVu
100,spotify:track:2lsRp40mCRkhqULWdMbOzn,Lim Young Woong,I Love You,물고기뮤직,15,96,125,48150,2lsRp40mCRkhqULWdMbOzn
101,spotify:track:0dS2u2UFd88TIzDDaZDLvS,d4vd,Here With Me,Darkroom/Interscope Records,72,156,90,48002,0dS2u2UFd88TIzDDaZDLvS
102,spotify:track:3s761CQaziQ0GEN1yUkIsG,Nerd Connection,‎Good Night Good Dream,Your Summer,81,105,109,47820,3s761CQaziQ0GEN1yUkIsG
103,spotify:track:7wLJ4xzxNss5abZ1kXs242,"Car, the garden",Closely Far Away,니즈뮤직,103,172,3,47312,7wLJ4xzxNss5abZ1kXs242
104,spotify:track:2cxcqKwQtfKq7giphxjzOu,tuki.,晩餐歌,月面着陸計画,86,87,17,47073,2cxcqKwQtfKq7giphxjzOu
105,spotify:track:3UQqoKVHxCodlqcdy8yeLb,KEY,Golden,SM Entertainment,105,165,2,47007,3UQqoKVHxCodlqcdy8yeLb
106,spotify:track:4xun4NeTMbv8dCzORoPA0w,KEY,Overthink,SM Entertainment,106,171,2,46597,4xun4NeTMbv8dCzORoPA0w
107,spotify:track:0OA00aPt3BV10qeMIs3meW,"Hanumankind, Kalmi",Big Dawgs,Universal Music India Pvt Ltd.,51,91,8,46171,0OA00aPt3BV10qeMIs3meW
108,spotify:track:365znJ27Fb3faGsctmQYWR,Lim Young Woong,Father,물고기뮤직,29,104,120,46143,365znJ27Fb3faGsctmQYWR
109,spotify:track:1SS0WlKhJewviwEDZ6dWj0,"ZICO, JENNIE",SPOT!,KOZ Entertainment,2,109,23,45462,1SS0WlKhJewviwEDZ6dWj0
110,spotify:track:7z7kvUQGwlC6iOl7vMuAr9,The Weeknd,Dancing In The Flames,XO / Republic Records,32,79,3,45401,7z7kvUQGwlC6iOl7vMuAr9
111,spotify:track:0aZG8KWrpRnsGL0loUkfSj,TWS,plot twist,PLEDIS Entertainment,9,116,37,45356,0aZG8KWrpRnsGL0loUkfSj
112,spotify:track:7x3SGAkfIrzDr9paSslwMv,Lim Young Woong,Lovely Touch,물고기뮤직,28,114,123,45341,7x3SGAkfIrzDr9paSslwMv
113,spotify:track:2ODZujtUNxCQDfKCxCeRxZ,PLAVE,Our Movie,VLAST,63,95,7,45235,2ODZujtUNxCQDfKCxCeRxZ
114,spotify:track:7vjfnsnDXZGK4PSq54ISjc,LE SSERAFIM,1-800-hot-n-fun,SOURCE MUSIC,32,89,5,45031,7vjfnsnDXZGK4PSq54ISjc
115,spotify:track:3bNNvJA7hsGw0wSpGkfOBm,Jung Kook,Too Sad to Dance,BIGHIT MUSIC,10,107,48,44927,3bNNvJA7hsGw0wSpGkfOBm
116,spotify:track:2SBnYX6QFYotZEeVgxr0nv,HOMIES,NOSAE NOSAE,㈜호미들,116,131,3,44841,2SBnYX6QFYotZEeVgxr0nv
117,spotify:track:3lboRjzlrZ8tFxR0y59Yny,KEY,I Know,SM Entertainment,117,193,2,44734,3lboRjzlrZ8tFxR0y59Yny
118,spotify:track:24ISyrkOgpc0IodIEUokog,데이먼스 이어 Damons year,yours,Akashic Records,48,125,105,44686,24ISyrkOgpc0IodIEUokog
119,spotify:track:0OaHZgVm77zLQNR3kwFf6n,BOYNEXTDOOR,Dangerous,KOZ Entertainment,31,72,5,44599,0OaHZgVm77zLQNR3kwFf6n
120,spotify:track:0tHp91iPXT425nduoYRHlm,KEY,Novacaine,SM Entertainment,120,-1,1,44334,0tHp91iPXT425nduoYRHlm
121,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,35,118,183,44249,0RiRZpuVRbi7oqRdSMwhQY
122,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,Mitski,My Love Mine All Mine,Dead Oceans,35,132,53,44194,3vkCueOmm7xQDoJ17W1Pm3
123,spotify:track:4eF3keUr7n9TXSl4NaZQOS,QWER,FAKE IDOL,TAMAGO PRODUCTION,123,135,4,44176,4eF3keUr7n9TXSl4NaZQOS
124,spotify:track:43u5DDtK4vQ1coWXb4S5a8,Lim Young Woong,HERO,"TIZZO C&C, New Era Project",31,113,103,43957,43u5DDtK4vQ1coWXb4S5a8
125,spotify:track:5XWlyfo0kZ8LF7VSyfS4Ew,aespa,Drama,SM Entertainment / Warner Records,15,134,47,43909,5XWlyfo0kZ8LF7VSyfS4Ew
126,spotify:track:1L3tUdD47eusTrxQRnr7IK,KEY,Going Up,SM Entertainment,126,-1,1,43871,1L3tUdD47eusTrxQRnr7IK
127,spotify:track:0yfQBmmOIVqiwhV5u10EhN,Lim Young Woong,Love Letter,물고기뮤직,23,112,120,43710,0yfQBmmOIVqiwhV5u10EhN
128,spotify:track:3X76Lal4GwBFqriHz1FbLU,FIFTY FIFTY,SOS,ATTRAKT,101,101,2,43661,3X76Lal4GwBFqriHz1FbLU
129,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records,36,143,118,43318,2LBqCSwhJGcFQeTHMVGwy3
130,spotify:track:1NubJcJa12xLssOkQfWZDZ,PLAVE,Watch Me Woo!,VLAST,67,102,7,43269,1NubJcJa12xLssOkQfWZDZ
131,spotify:track:0vaxYDAuAO1nPolC6bQp7V,KISS OF LIFE,Midas Touch,S2 ENTERTAINMENT INC.,10,124,27,42913,0vaxYDAuAO1nPolC6bQp7V
132,spotify:track:58Q3FZFs1YXPpliWQB5kXB,NewJeans,Right Now,ADOR,4,117,15,42518,58Q3FZFs1YXPpliWQB5kXB
133,spotify:track:1UyrFk2u0Asqmys76trMLi,PLAVE,From,VLAST,71,106,7,42423,1UyrFk2u0Asqmys76trMLi
134,spotify:track:3HIDWyZGwSe5MhrSP890nc,Lim Jae Hyun,Rhapsody of Sadness,"DAWN TAPE, IK PRODUCTION",65,129,39,42223,3HIDWyZGwSe5MhrSP890nc
135,spotify:track:1lODrFR40rSNAw5cX4j2J2,PLAVE,The 6th Summer,VLAST,83,108,9,41838,1lODrFR40rSNAw5cX4j2J2
136,spotify:track:4SqWKzw0CbA05TGszDgMlc,The Walters,I Love You So,Warner Records,63,161,50,41662,4SqWKzw0CbA05TGszDgMlc
137,spotify:track:4tjE2J3OLy3oOM6JecEfCG,PLAVE,Merry PLLIstmas,VLAST,93,115,7,41545,4tjE2J3OLy3oOM6JecEfCG
138,spotify:track:1mea3bSkSGXuIRvnydlB5b,Coldplay,Viva La Vida,Parlophone UK,129,188,11,41525,1mea3bSkSGXuIRvnydlB5b
139,spotify:track:4mMtn8zhy4IaOwzNCgSbCT,PLAVE,Virtual Idol,VLAST,72,111,7,41466,4mMtn8zhy4IaOwzNCgSbCT
140,spotify:track:294hRgOqnGW2BemqP8D35X,(G)I-DLE,Klaxon,CUBE Entertainment,43,123,13,41353,294hRgOqnGW2BemqP8D35X
141,spotify:track:15HNdxGKNCIO9pgaY4n7FU,OFFICIAL HIGE DANDISM,Pretender,PONY CANYON INC.,137,137,16,41139,15HNdxGKNCIO9pgaY4n7FU
142,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",21,127,37,40942,3xkHsmpQCBMytMJNiDf3Ii
143,spotify:track:1TCkgf6YdQa9jzhWziWbjf,Lim Young Woong,Elevator,덕업닷컴,52,120,84,40588,1TCkgf6YdQa9jzhWziWbjf
144,spotify:track:05STjz8kmPBUebu3uu5sO0,Lim Young Woong,Nest,물고기뮤직,38,139,116,40538,05STjz8kmPBUebu3uu5sO0
145,spotify:track:2y8vRHEoz15sYDmxyrDePO,TWS,"If I’m S, Can You Be My N?",PLEDIS Entertainment,33,121,15,40423,2y8vRHEoz15sYDmxyrDePO
146,spotify:track:1UHS8Rf6h5Ar3CDWRd3wjF,Sabrina Carpenter,Bed Chem,Island Records,131,141,5,40239,1UHS8Rf6h5Ar3CDWRd3wjF
147,spotify:track:3T03rPwlL8NVk1yIaxeD8U,Justin Bieber,Off My Face,RBMG/Def Jam,24,155,181,39975,3T03rPwlL8NVk1yIaxeD8U
148,spotify:track:5expoVGQPvXuwBBFuNGqBd,NewJeans,Hurt,ADOR,4,126,114,39703,5expoVGQPvXuwBBFuNGqBd
149,spotify:track:4mqfe9XrgEOSsofvq5MyjR,LEE CHANGSUB,Heavenly fate,TOON STUDIO,98,146,27,39597,4mqfe9XrgEOSsofvq5MyjR
150,spotify:track:6DA7kCWYMggJjqPM84V2Ng,HYUKOH,TOMBOY,DOOROODOOROO ARTIST COMPANY,85,140,21,39413,6DA7kCWYMggJjqPM84V2Ng
151,spotify:track:5YqEzk3C5c3UZ1D5fJUlXA,"Nicky Youre, dazy",Sunroof,Thirty Knots/Columbia,34,163,81,39318,5YqEzk3C5c3UZ1D5fJUlXA
152,spotify:track:50kpGaPAhYJ3sGmk6vplg0,Justin Bieber,Love Yourself,RBMG/Def Jam,79,180,185,38866,50kpGaPAhYJ3sGmk6vplg0
153,spotify:track:4srbKZGPFWK1rqVFS9KDFR,DAY6,Love me or Leave me,JYP Entertainment,144,144,3,38722,4srbKZGPFWK1rqVFS9KDFR
154,spotify:track:45OflED18VsURGw2z0Y6Cv,tripleS,Girls Never Die,MODHAUS,17,149,21,38638,45OflED18VsURGw2z0Y6Cv
155,spotify:track:0djkJ3iAARXRCbfbwwVc3o,IU,Love wins all,EDAM Entertainment,8,128,37,38567,0djkJ3iAARXRCbfbwwVc3o
156,spotify:track:6dgUya35uo964z7GZXM07g,Sabrina Carpenter,Nonsense,Island Records,19,148,94,38174,6dgUya35uo964z7GZXM07g
157,spotify:track:1njlnn8ZKHI77Pe9szIONR,BABYMONSTER,SHEESH,YG Entertainment,9,151,27,37734,1njlnn8ZKHI77Pe9szIONR
158,spotify:track:6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,RBMG/Def Jam,15,189,161,37587,6I3mqTwhRpn34SLVafSH7G
159,spotify:track:1w2hClDL1xH4FPZIipZ1FJ,Yoon Do Hyun,I Guess I Loved You,Universal Music Ltd.,80,122,63,37535,1w2hClDL1xH4FPZIipZ1FJ
160,spotify:track:2kIUILBPlz4exX9xIFS275,ILLIT,Lucky Girl Syndrome,BELIFT LAB,23,159,28,37456,2kIUILBPlz4exX9xIFS275
161,spotify:track:2gyCwrOcC6JBoaJ8JGJ7T8,TAEYEON,To. X,SM Entertainment,13,160,45,37452,2gyCwrOcC6JBoaJ8JGJ7T8
162,spotify:track:6RUKPb4LETWmmr3iAEQktW,"The Chainsmokers, Coldplay",Something Just Like This,Disruptor Records/Columbia,133,169,23,37149,6RUKPb4LETWmmr3iAEQktW
163,spotify:track:4ppKRxity3jJd2hGoVyD4u,Zion.T,No Make Up,Stone Music Entertainment,163,-1,3,37063,4ppKRxity3jJd2hGoVyD4u
164,spotify:track:0UaaFmF3xUwMjnuAHBq7qL,Crush,Love You With All My Heart,소리날리,21,164,27,37063,0UaaFmF3xUwMjnuAHBq7qL
165,spotify:track:66UcQu5LBo2A7AC0A5r0lI,HYUKOH,Wi Ing Wi Ing,DOOROODOOROO ARTIST COMPANY,137,177,18,36906,66UcQu5LBo2A7AC0A5r0lI
166,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,Not Like Us,"Kendrick Lamar, under exclusive license to Interscope Records",28,136,22,36843,6AI3ezQ4o3HUoP6Dhudph3
167,spotify:track:30tYWTkLIQtZWnRIOqcHnJ,"Car, the garden",나무,Kakao Entertainment,167,174,3,36734,30tYWTkLIQtZWnRIOqcHnJ
168,spotify:track:1RMJOxR6GRPsBHL8qeC2ux,"Daniel Caesar, H.E.R.",Best Part (feat. H.E.R.),Golden Child Recordings,109,178,38,36695,1RMJOxR6GRPsBHL8qeC2ux
169,spotify:track:4fYte8ZvTK14NEhAOZocBi,OneRepublic,I Ain't Worried,Mosley Music/Interscope Records,1,194,115,36499,4fYte8ZvTK14NEhAOZocBi
170,spotify:track:4r1caIy3DscFsJuNXKIo5g,PLAVE,Wait for you,VLAST,103,138,7,36455,4r1caIy3DscFsJuNXKIo5g
171,spotify:track:11s5p72subU7SHJPzyR2Lq,RIIZE,Memories,SM Entertainment,36,150,57,36344,11s5p72subU7SHJPzyR2Lq
172,spotify:track:19Hg1UCZaCdpHB37L7x63X,The Black Skirts,EVERYTHING,"DOGGYRICH FOREVER, BESPOK.",110,181,87,36135,19Hg1UCZaCdpHB37L7x63X
173,spotify:track:3AJwUDP919kvQ9QcozQPxg,Coldplay,Yellow,Parlophone UK,157,157,3,35944,3AJwUDP919kvQ9QcozQPxg
174,spotify:track:3ybJERCKs3Jf3aT7xU1Vs4,aespa,Live My Life,SM Entertainment,85,183,19,35795,3ybJERCKs3Jf3aT7xU1Vs4
175,spotify:track:7rdGrVIoqwPWOULauvglio,Adam Levine,Lost Stars,Interscope Records*,175,-1,1,35774,7rdGrVIoqwPWOULauvglio
176,spotify:track:3scRk3rUGIwpCg9kMNrtEQ,Baek A,Amor,Baek A,17,197,86,35761,3scRk3rUGIwpCg9kMNrtEQ
177,spotify:track:4zCcKPm03kHARVAiyzlDX8,Lim Young Woong,Trust in me,TV CHOSUN,46,168,110,35698,4zCcKPm03kHARVAiyzlDX8
178,spotify:track:0NPR33dSDeDdlWS4aaN3dc,Lim Young Woong,My Starry Love,"TIZZO C&C, New Era Project, MULGOGI MUSIC",43,167,103,35627,0NPR33dSDeDdlWS4aaN3dc
179,spotify:track:2i3HoDE1ZvQ2bh2ZmgpSug,Nerd Connection,Silently Completely Eternally,유어썸머,170,170,10,35607,2i3HoDE1ZvQ2bh2ZmgpSug
180,spotify:track:4cGxjripxGYy1VrC9gzmlF,"HOZIHO, Choi Sung Ho",Don't Cry,HOZIHOMUSIC,119,133,29,35556,4cGxjripxGYy1VrC9gzmlF
181,spotify:track:5KfJvZ0PZzRdwFRaTUDAA7,Jung Kook,Somebody,BIGHIT MUSIC,12,175,47,35218,5KfJvZ0PZzRdwFRaTUDAA7
182,spotify:track:2PnlsTsOTLE5jnBnNe2K0A,Linkin Park,The Emptiness Machine,Warner Records,179,179,4,35126,2PnlsTsOTLE5jnBnNe2K0A
183,spotify:track:02wk5BttM0QL38ERjLPQJB,NewJeans,Cool With You,ADOR,5,182,63,35115,02wk5BttM0QL38ERjLPQJB
184,spotify:track:3bSiun4NYEYvoer5zfSMPt,NCT WISH,Dunk Shot,SM Entertainment,166,166,3,35004,3bSiun4NYEYvoer5zfSMPt
185,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,8,200,136,34753,0VjIjW4GlUZAMYd2vXMi3b
186,spotify:track:0VdwOoAKPe9aGahkpllfkH,BUMJIN,A Letter,JMG(더블엑스엔터테인먼트),68,-1,36,34680,0VdwOoAKPe9aGahkpllfkH
187,spotify:track:42VsgItocQwOQC3XWZ8JNA,"Travis Scott, Playboi Carti",FE!N (feat. Playboi Carti),Cactus Jack/Epic,42,-1,23,34542,42VsgItocQwOQC3XWZ8JNA
188,spotify:track:6VhuP99TE6gYNQRJIlAWFD,Stephen Sanchez,Until I Found You,Republic Records,77,-1,41,34450,6VhuP99TE6gYNQRJIlAWFD
189,spotify:track:3DK6m7It6Pw857FcQftMds,"Kanye West, Pusha T",Runaway,Roc-A-Fella,34,153,6,34442,3DK6m7It6Pw857FcQftMds
190,spotify:track:7CkjU55ROZSwb95dzGan0o,Geeks,Officially Missing You,"킹핀엔터테인먼트, GRDL",185,196,4,34417,7CkjU55ROZSwb95dzGan0o
191,spotify:track:1IvOxLYTstsq5Z6pN3l3zm,Lim Young Woong,Loving You,물고기뮤직,48,186,111,34417,1IvOxLYTstsq5Z6pN3l3zm
192,spotify:track:2D1xAiDD33nqcxtSMH30hO,Lim Young Woong,Love Station,물고기뮤직,39,190,112,34322,2D1xAiDD33nqcxtSMH30hO
193,spotify:track:7B9W7Qsy5M2kyUNjQYIEG8,fromis_9,DM,PLEDIS Entertainment,8,173,40,34241,7B9W7Qsy5M2kyUNjQYIEG8
194,spotify:track:0NoeYUnwpb9R26mpylHcR9,KISS OF LIFE,Sugarcoat (NATTY Solo),S2 ENTERTAINMENT INC.,28,-1,64,34150,0NoeYUnwpb9R26mpylHcR9
195,spotify:track:0GqAWZe1A5ecKadZrHk6XH,Stray Kids,Chk Chk Boom,JYP Entertainment,30,147,11,34072,0GqAWZe1A5ecKadZrHk6XH
196,spotify:track:1jXkl4Jv3iiX0Maj77witN,IVE,HEYA,STARSHIP Entertainment,10,199,23,34039,1jXkl4Jv3iiX0Maj77witN
197,spotify:track:5VBjyOQzqlPNgdRPMM6prF,wave to earth,seasons,ADA Korea,163,-1,10,33793,5VBjyOQzqlPNgdRPMM6prF
198,spotify:track:0TU3HvHsqJyKVBP8eFIUFQ,PLAVE,Pixel world,VLAST,168,184,5,33495,0TU3HvHsqJyKVBP8eFIUFQ
199,spotify:track:5Odq8ohlgIbQKMZivbWkEo,"Charlie Puth, Jung Kook, BTS",Left and Right (Feat. Jung Kook of BTS),Atlantic Records,1,97,119,33486,5Odq8ohlgIbQKMZivbWkEo
200,spotify:track:7KA4W4McWYRpgf0fWsJZWB,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),Columbia,197,-1,3,33387,7KA4W4McWYRpgf0fWsJZWB
